TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".project_id:llm-workload-characterization3.service_name:ollama-llama
service_name,ollama-llama
project_id,llm-workload-characterization3
Sun May 25 2025 23:09:00 GMT+0300 (GMT+03:00),323411.40677690203
Sun May 25 2025 23:10:00 GMT+0300 (GMT+03:00),322919.6180638171
Sun May 25 2025 23:11:00 GMT+0300 (GMT+03:00),322737.0891176257
Sun May 25 2025 23:12:00 GMT+0300 (GMT+03:00),323093.3825720912
Sun May 25 2025 23:17:00 GMT+0300 (GMT+03:00),43776.21936634347
Sun May 25 2025 23:18:00 GMT+0300 (GMT+03:00),97770.71967755273
Sun May 25 2025 23:19:00 GMT+0300 (GMT+03:00),148929.04621536616
Sun May 25 2025 23:20:00 GMT+0300 (GMT+03:00),208218.32751589437
Sun May 25 2025 23:21:00 GMT+0300 (GMT+03:00),263518.9030437279
Sun May 25 2025 23:22:00 GMT+0300 (GMT+03:00),322791.2692792965
Sun May 25 2025 23:23:00 GMT+0300 (GMT+03:00),323460.23831372894
Sun May 25 2025 23:24:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 23:25:00 GMT+0300 (GMT+03:00),323446.47243313276
Sun May 25 2025 23:26:00 GMT+0300 (GMT+03:00),322294.7730151688
Sun May 25 2025 23:27:00 GMT+0300 (GMT+03:00),322200.4699511647
Sun May 25 2025 23:28:00 GMT+0300 (GMT+03:00),323449.51493796107
Sun May 25 2025 23:29:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 23:30:00 GMT+0300 (GMT+03:00),323457.1617880242
Sun May 25 2025 23:31:00 GMT+0300 (GMT+03:00),322958.7150781788
Sun May 25 2025 23:32:00 GMT+0300 (GMT+03:00),321385.60326421016
Sun May 25 2025 23:33:00 GMT+0300 (GMT+03:00),323434.34920561407
Sun May 25 2025 23:34:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 23:35:00 GMT+0300 (GMT+03:00),323460.18273539026
Sun May 25 2025 23:36:00 GMT+0300 (GMT+03:00),323305.50467128743
Sun May 25 2025 23:37:00 GMT+0300 (GMT+03:00),322610.51773659885
