timestamp,Max_concurrent_requests_p50
Mon May 26 2025 00:01:00 GMT+0300 (GMT+03:00),389.1666666666667
Mon May 26 2025 00:02:00 GMT+0300 (GMT+03:00),394.1666666666667
Mon May 26 2025 00:03:00 GMT+0300 (GMT+03:00),393.75
Mon May 26 2025 00:04:00 GMT+0300 (GMT+03:00),392.5
Mon May 26 2025 00:05:00 GMT+0300 (GMT+03:00),396.25
Mon May 26 2025 00:06:00 GMT+0300 (GMT+03:00),392.5
Mon May 26 2025 00:07:00 GMT+0300 (GMT+03:00),397.5
Mon May 26 2025 00:08:00 GMT+0300 (GMT+03:00),397.5
Mon May 26 2025 00:09:00 GMT+0300 (GMT+03:00),397.5
Mon May 26 2025 00:10:00 GMT+0300 (GMT+03:00),396.25
Mon May 26 2025 00:11:00 GMT+0300 (GMT+03:00),398.75
Mon May 26 2025 00:12:00 GMT+0300 (GMT+03:00),407.5
Mon May 26 2025 00:13:00 GMT+0300 (GMT+03:00),407.5
Mon May 26 2025 00:14:00 GMT+0300 (GMT+03:00),401.25
Mon May 26 2025 00:15:00 GMT+0300 (GMT+03:00),307.5
Mon May 26 2025 00:16:00 GMT+0300 (GMT+03:00),173.75
Mon May 26 2025 00:17:00 GMT+0300 (GMT+03:00),33.0
Mon May 26 2025 00:18:00 GMT+0300 (GMT+03:00),0.8333333333333334
Mon May 26 2025 00:19:00 GMT+0300 (GMT+03:00),0.5
Mon May 26 2025 00:20:00 GMT+0300 (GMT+03:00),0.5
Mon May 26 2025 00:21:00 GMT+0300 (GMT+03:00),0.5
Mon May 26 2025 00:22:00 GMT+0300 (GMT+03:00),0.8333333333333334
Mon May 26 2025 00:23:00 GMT+0300 (GMT+03:00),401.25
Mon May 26 2025 00:24:00 GMT+0300 (GMT+03:00),406.25
Mon May 26 2025 00:25:00 GMT+0300 (GMT+03:00),406.25
Mon May 26 2025 00:26:00 GMT+0300 (GMT+03:00),403.75
Mon May 26 2025 00:27:00 GMT+0300 (GMT+03:00),403.75
Mon May 26 2025 00:28:00 GMT+0300 (GMT+03:00),410.8333333333333
Mon May 26 2025 00:29:00 GMT+0300 (GMT+03:00),397.5
Mon May 26 2025 00:30:00 GMT+0300 (GMT+03:00),394.1666666666667
Mon May 26 2025 00:31:00 GMT+0300 (GMT+03:00),397.5
Mon May 26 2025 00:32:00 GMT+0300 (GMT+03:00),397.5
Mon May 26 2025 00:33:00 GMT+0300 (GMT+03:00),397.5
Mon May 26 2025 00:34:00 GMT+0300 (GMT+03:00),402.5
Mon May 26 2025 00:35:00 GMT+0300 (GMT+03:00),403.75
Mon May 26 2025 00:36:00 GMT+0300 (GMT+03:00),402.5
Mon May 26 2025 00:37:00 GMT+0300 (GMT+03:00),403.75
Mon May 26 2025 00:38:00 GMT+0300 (GMT+03:00),406.25
Mon May 26 2025 00:39:00 GMT+0300 (GMT+03:00),407.5
Mon May 26 2025 00:40:00 GMT+0300 (GMT+03:00),402.5
